X,Y,Name,description,address,artist,class,classifica,contactage,contactpho,date_made,descriptio,dimensions,general_no,gis_editor,gis_id,in_row,link_1,link_2,link_3,location,locator,mat_1,materials,park_name,pic_1,pic_2,pic_3,pma,pubart_row,reserved_i,reserved_t,sac_id,subtype,title,x_coord,y_coord
,,,,22nd Ave SW between SW Elmgrove St and SW Thistle St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,391,Y,,,,West side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262830.60164194,196779.28863756
,,,,SW Hudson St & 26th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,401,Y,,,,Near southeast corner of the intersection,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262114.89104917,207118.66228011
,,,,,merge conceptual design (Claudia Reisenberger and Franka Diehnelt),,,,,2012,The artwork consists of stenciled and barcode designs painted on the concrete columns that hold up the existing and new portions of the Spokane Street Viaduct between Sixth Avenue South and East Marginal Way South.,,8 themes,SDOT,0,Y,,,,"Under the Spokane Street Viaduct between Sixth Avenue South and East Marginal Way South   Seattle, WA  98134",,,,,,,,0,,0,,ST12.060,,SODO,0,0
,,,,24th Ave SW between SW Graham St and SW Willow St,"de Lory, Peter",,3 signposts with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,3 signposts with sign images of flora,,,SDOT,380,Y,,,,Three artwork signposts in various locations on 24th Ave SW between SW Graham St and SW Willow St,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262604.16624971,200870.01798575
,,,,Delridge Way SW between SW Webster St and SW Holden St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,385,Y,,,,West side of Delridge near Webster,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1263075.83415419,198953.74911979
,,,,5410 Ballard Ave NW,"Herard, Marvin",,1 inlay in sidewalk,Seattle Office of Arts & Cultural Affairs,206-684-7171,1978,1 inlay in sidewalk with design of concentric half circles arranged to create serpentine patterns in the sidewalk.,,,SDOT,178,Y,,,,,,Precast concrete,Precast concrete,,,,,0,,0,,"CL78.102a,b",,Untitled,1258144.40169903,247444.85651006
,,,,1st Ave between Battery St & Wall St,"Mackie, Jack; Simpson, Lewis ""Buster""",,2 benches,Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,2 benches,,,SDOT,207,Y,,,,"West side of 1st Ave, south lot adjacent to 2419 1st Ave",,,,,,,,0,,0,,CL86.045,,Street Treatment,1266783.30487798,227799.40866932
,,,,Fremont Ave N between N 39th St & N 41st St,"Gardner, Ann; Ostler, David; Roth, Steven; Sweeney, Michael",,2 dimensional artwork,Seattle Office of Arts & Cultural Affairs,206-684-7171,1980,"AT BOTTOM OF STAIRWAY CHILDLIKE PICTURES HAVE BEEN   DRAWN IN THE CONCRETE; PANELS OF CERAMIC SHARDS AND  GLASS ARRANGED IN HORIZONTAL DESIGNS DECORATE RETAINING WALL / BENCHES SURROUNDING THE CONCRETE AREA",,Located on a stairway off of the street.  In ROW?,SDOT,215,Y,,,,Stairway on west side of Fremont Ave N,,"Concrete, ceramic tile, glass","Concrete, ceramic tile, glass",,,,,0,,0,,DCD80.060,,The Stairway In Fremont Project,1266661.03134185,242035.8830519
,,,,2200 2nd Ave,"Kiefer, Kurt H.",,9 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"8 faux plank insets in sidewalk, 1 ""welcome mat"" inset in sidewalk",,,SDOT,244,Y,,,,,,"Faux plank insets:  tinted concrete; ""welcome mat:  steel treadplate, tinted concrete","Faux plank insets:  tinted concrete; ""welcome mat:  steel treadplate, tinted concrete",,,,,0,,0,,ED96.030,,Street Treatment,1267754.02101498,227392.22753111
,,,,2020 2nd Ave,"Kiefer, Kurt H.",,"5 insets, 1 brackets/fixture on pole, 1 sign, 2 cl",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 brackets/light fixture/1 sign with the word ""Belltown""/ 2 clocks on light pole; 5 faux plank insets in sidewalk",,,SDOT,251,Y,,,,,,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1268323.95065519,226873.68702142
,,,,2006 2nd Ave,"Kiefer, Kurt H.",,1 brackets/fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,252,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1268366.2631767,226835.19149718
,,,,2028 2nd Ave,"Kiefer, Kurt H.",,2 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,2 faux plank insets in sidewalk,,,SDOT,258,Y,,,,,,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1268299.77206582,226895.68446899
,,,,2505 2nd Ave,"Kiefer, Kurt H.",,"1 brackets/light fixture/2 clocks on pole, 1 inset",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 brackets with light fixture on light pole, 1 brackets with 2 clocks on light pole, 1 ""welcome mat"" inset in sidewalk",,,SDOT,264,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1266851.16359003,228132.60644891
,,,,2901 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture and 1 sign on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 brackets with light fixture and 1 sign with the word ""Belltown"" on light pole,",,,SDOT,266,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1265947.82517287,228954.55497165
,,,,"81 Vine Street  Seattle, WA  98121","Simpson, Buster",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,2002,Water tank which receives water from downspout connected to roof.,16' x 12' plus 20' downspout,,SDOT,353,Y,,,,Near curb in front of building,,"Mixed media, stainless steel, aluminum","Mixed media, stainless steel, aluminum",,,,,0,,0,,SPU03.033,,Beckoning Cistern,1266292.43009772,227898.14375543
