styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,ExtendedData/Data/19/value,ExtendedData/Data/19/_name,ExtendedData/Data/20/value,ExtendedData/Data/20/_name,ExtendedData/Data/21/value,ExtendedData/Data/21/_name,ExtendedData/Data/22/value,ExtendedData/Data/22/_name,ExtendedData/Data/23/value,ExtendedData/Data/23/_name,ExtendedData/Data/24/value,ExtendedData/Data/24/_name,ExtendedData/Data/25/value,ExtendedData/Data/25/_name,ExtendedData/Data/26/value,ExtendedData/Data/26/_name,ExtendedData/Data/27/value,ExtendedData/Data/27/_name,ExtendedData/Data/28/value,ExtendedData/Data/28/_name,ExtendedData/Data/29/value,ExtendedData/Data/29/_name,ExtendedData/Data/30/value,ExtendedData/Data/30/_name,ExtendedData/Data/31/value,ExtendedData/Data/31/_name,ExtendedData/Data/32/value,ExtendedData/Data/32/_name,MultiGeometry/Point/coordinates
#defaultStyle,22nd Ave SW between SW Elmgrove St and SW Thistle St,address,"de Lory, Peter",artist,,class,1 signpost with sign images of flora,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,2004,date_made,1 signpost with sign images of flora,descriptio,,dimensions,,general_no,SDOT,gis_editor,391,gis_id,Y,in_row,,link_1,,link_2,,link_3,West side of the street,location,,locator,"Steel, porcelain enamel",mat_1,"Steel, porcelain enamel",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,SPU05.024,sac_id,,subtype,Longfellow Creek Legacy Trail Way Finding Signs,title,1262830.60164194,x_coord,196779.28863756,y_coord,"-122.36108950966555,47.530053138254395"
#defaultStyle,SW Hudson St & 26th Ave SW,address,"de Lory, Peter",artist,,class,1 signpost with sign images of flora,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,2004,date_made,1 signpost with sign images of flora,descriptio,,dimensions,,general_no,SDOT,gis_editor,401,gis_id,Y,in_row,,link_1,,link_2,,link_3,Near southeast corner of the intersection,location,,locator,"Steel, porcelain enamel",mat_1,"Steel, porcelain enamel",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,SPU05.024,sac_id,,subtype,Longfellow Creek Legacy Trail Way Finding Signs,title,1262114.89104917,x_coord,207118.66228011,y_coord,"-122.36545842354006,47.55738785686174"
#defaultStyle,,address,merge conceptual design (Claudia Reisenberger and Franka Diehnelt),artist,,class,,classifica,,contactage,,contactpho,2012,date_made,The artwork consists of stenciled and barcode designs painted on the concrete columns that hold up the existing and new portions of the Spokane Street Viaduct between Sixth Avenue South and East Marginal Way South.,descriptio,,dimensions,8 themes,general_no,SDOT,gis_editor,0,gis_id,Y,in_row,,link_1,,link_2,,link_3,"Under the Spokane Street Viaduct between Sixth Avenue South and East Marginal Way South   Seattle, WA  98134",location,,locator,,mat_1,,materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,ST12.060,sac_id,,subtype,SODO,title,0,x_coord,0,y_coord,"-122.33268574541391,47.571577446363854"
#defaultStyle,24th Ave SW between SW Graham St and SW Willow St,address,"de Lory, Peter",artist,,class,3 signposts with sign images of flora,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,2004,date_made,3 signposts with sign images of flora,descriptio,,dimensions,,general_no,SDOT,gis_editor,380,gis_id,Y,in_row,,link_1,,link_2,,link_3,Three artwork signposts in various locations on 24th Ave SW between SW Graham St and SW Willow St,location,,locator,"Steel, porcelain enamel",mat_1,"Steel, porcelain enamel",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,SPU05.024,sac_id,,subtype,Longfellow Creek Legacy Trail Way Finding Signs,title,1262604.16624971,x_coord,200870.01798575,y_coord,"-122.36343753390177,47.54169104351884"
#defaultStyle,Delridge Way SW between SW Webster St and SW Holden St,address,"de Lory, Peter",artist,,class,1 signpost with sign images of flora,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,2004,date_made,1 signpost with sign images of flora,descriptio,,dimensions,,general_no,SDOT,gis_editor,385,gis_id,Y,in_row,,link_1,,link_2,,link_3,West side of Delridge near Webster,location,,locator,"Steel, porcelain enamel",mat_1,"Steel, porcelain enamel",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,SPU05.024,sac_id,,subtype,Longfellow Creek Legacy Trail Way Finding Signs,title,1263075.83415419,x_coord,198953.74911979,y_coord,"-122.36131671809045,47.535459263138634"
#defaultStyle,5410 Ballard Ave NW,address,"Herard, Marvin",artist,,class,1 inlay in sidewalk,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,1978,date_made,1 inlay in sidewalk with design of concentric half circles arranged to create serpentine patterns in the sidewalk.,descriptio,,dimensions,,general_no,SDOT,gis_editor,178,gis_id,Y,in_row,,link_1,,link_2,,link_3,,location,,locator,Precast concrete,mat_1,Precast concrete,materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,"CL78.102a,b",sac_id,,subtype,Untitled,title,1258144.40169903,x_coord,247444.85651006,y_coord,"-122.38590087186886,47.668445087080286"
#defaultStyle,1st Ave between Battery St & Wall St,address,"Mackie, Jack; Simpson, Lewis ""Buster""",artist,,class,2 benches,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,1985-1991,date_made,2 benches,descriptio,,dimensions,,general_no,SDOT,gis_editor,207,gis_id,Y,in_row,,link_1,,link_2,,link_3,"West side of 1st Ave, south lot adjacent to 2419 1st Ave",location,,locator,,mat_1,,materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,CL86.045,sac_id,,subtype,Street Treatment,title,1266783.30487798,x_coord,227799.40866932,y_coord,"-122.34850028649429,47.61440618025196"
#defaultStyle,Fremont Ave N between N 39th St & N 41st St,address,"Gardner, Ann; Ostler, David; Roth, Steven; Sweeney, Michael",artist,,class,2 dimensional artwork,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,1980,date_made,AT BOTTOM OF STAIRWAY CHILDLIKE PICTURES HAVE BEEN   DRAWN IN THE CONCRETE; PANELS OF CERAMIC SHARDS AND  GLASS ARRANGED IN HORIZONTAL DESIGNS DECORATE RETAINING WALL / BENCHES SURROUNDING THE CONCRETE AREA,descriptio,,dimensions,Located on a stairway off of the street.  In ROW?,general_no,SDOT,gis_editor,215,gis_id,Y,in_row,,link_1,,link_2,,link_3,Stairway on west side of Fremont Ave N,location,,locator,"Concrete, ceramic tile, glass",mat_1,"Concrete, ceramic tile, glass",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,DCD80.060,sac_id,,subtype,The Stairway In Fremont Project,title,1266661.03134185,x_coord,242035.8830519,y_coord,"-122.35009970522526,47.6554071765817"
#defaultStyle,2200 2nd Ave,address,"Kiefer, Kurt H.",artist,,class,9 insets,classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,1994-96,date_made,"8 faux plank insets in sidewalk, 1 ""welcome mat"" inset in sidewalk",descriptio,,dimensions,,general_no,SDOT,gis_editor,244,gis_id,Y,in_row,,link_1,,link_2,,link_3,,location,,locator,"Faux plank insets:  tinted concrete; ""welcome mat:  steel treadplate, tinted concrete",mat_1,"Faux plank insets:  tinted concrete; ""welcome mat:  steel treadplate, tinted concrete",materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,ED96.030,sac_id,,subtype,Street Treatment,title,1267754.02101498,x_coord,227392.22753111,y_coord,"-122.34447170371214,47.61346167037024"
#defaultStyle,2020 2nd Ave,address,"Kiefer, Kurt H.",artist,,class,"5 insets, 1 brackets/fixture on pole, 1 sign, 2 cl",classifica,Seattle Office of Arts & Cultural Affairs,contactage,206-684-7171,contactpho,1994-96,date_made,"1 brackets/light fixture/1 sign with the word ""Belltown""/ 2 clocks on light pole; 5 faux plank insets in sidewalk",descriptio,,dimensions,,general_no,SDOT,gis_editor,251,gis_id,Y,in_row,,link_1,,link_2,,link_3,,location,,locator,Faux plank insets:  tinted concrete,mat_1,Faux plank insets:  tinted concrete,materials,,park_name,,pic_1,,pic_2,,pic_3,0,pma,,pubart_row,0,reserved_i,,reserved_t,ED96.030,sac_id,,subtype,Street Treatment,title,1268323.95065519,x_coord,226873.68702142,y_coord,"-122.34214011506813,47.61207564245914"
